#Archive/File	Name	Time	Size	Type
Archive	GSE179430_RAW.tar	01/22/2022 17:19:02	469524480	TAR
File	GSM5417602_Cup9_rpt1.out.txt.gz	07/04/2021 16:02:05	720001	TXT
File	GSM5417603_Skn7_rpt1.out.txt.gz	07/04/2021 16:02:05	816048	TXT
File	GSM5417604_Hms2_rpt1.out.txt.gz	07/04/2021 16:02:05	247610	TXT
File	GSM5417605_Cup9_rpt2.out.txt.gz	07/04/2021 16:02:06	401771	TXT
File	GSM5417606_Skn7_rpt2.out.txt.gz	07/04/2021 16:02:06	1571884	TXT
File	GSM5417607_Hms2_rpt2.out.txt.gz	07/04/2021 16:02:07	1151629	TXT
File	GSM5417608_Hms2_rpt3.out.txt.gz	07/04/2021 16:02:07	229663	TXT
File	GSM5417609_Dot6_rpt1.out.txt.gz	07/04/2021 16:02:08	718376	TXT
File	GSM5417610_Sok2_rpt1.out.txt.gz	07/04/2021 16:02:08	579485	TXT
File	GSM5417611_Smp1_rpt1.out.txt.gz	07/04/2021 16:02:08	829685	TXT
File	GSM5417612_Rlm1_rpt1.out.txt.gz	07/04/2021 16:02:09	799275	TXT
File	GSM5417613_Dot6_rpt2.out.txt.gz	07/04/2021 16:02:09	629290	TXT
File	GSM5417614_Sok2_rpt2.out.txt.gz	07/04/2021 16:02:09	419551	TXT
File	GSM5417615_Rlm1_rpt2.out.txt.gz	07/04/2021 16:02:10	693676	TXT
File	GSM5417616_Gzf3_rpt1.out.txt.gz	07/04/2021 16:02:11	2404881	TXT
File	GSM5417617_Dal80_rpt1.out.txt.gz	07/04/2021 16:02:13	3286790	TXT
File	GSM5417618_Gis1_rpt1.out.txt.gz	07/04/2021 16:02:13	1644282	TXT
File	GSM5417619_Rph1_rpt1.out.txt.gz	07/04/2021 16:02:14	1817817	TXT
File	GSM5417620_Met31_rpt1.out.txt.gz	07/04/2021 16:02:16	2923238	TXT
File	GSM5417621_Met32_rpt1.out.txt.gz	07/04/2021 16:02:17	3033860	TXT
File	GSM5417622_Stp3_rpt1.out.txt.gz	07/04/2021 16:02:19	2958158	TXT
File	GSM5417623_Stp4_rpt1.out.txt.gz	07/04/2021 16:02:20	2859124	TXT
File	GSM5417624_Usv1_rpt1.out.txt.gz	07/04/2021 16:02:21	2592786	TXT
File	GSM5417625_Gzf3_rpt2.out.txt.gz	07/04/2021 16:02:23	2542637	TXT
File	GSM5417626_Gis1_rpt2.out.txt.gz	07/04/2021 16:02:24	1968845	TXT
File	GSM5417627_Rph1_rpt2.out.txt.gz	07/04/2021 16:02:25	3034014	TXT
File	GSM5417628_Met31_rpt2.out.txt.gz	07/04/2021 16:02:26	2433304	TXT
File	GSM5417629_Met32_rpt2.out.txt.gz	07/04/2021 16:02:28	3032799	TXT
File	GSM5417630_Stp3_rpt2.out.txt.gz	07/04/2021 16:02:28	723325	TXT
File	GSM5417631_Stp4_rpt2.out.txt.gz	07/04/2021 16:02:30	3338000	TXT
File	GSM5417632_Rph1_rpt3.out.txt.gz	07/04/2021 16:02:32	2757074	TXT
File	GSM5417633_Stp4_rpt3.out.txt.gz	07/04/2021 16:02:33	2774594	TXT
File	GSM5417634_Dal80_rpt2.out.txt.gz	07/04/2021 16:02:34	2552045	TXT
File	GSM5417635_Pdr1_rpt1.out.txt.gz	07/04/2021 16:02:35	709663	TXT
File	GSM5417636_Pdr3_rpt1.out.txt.gz	07/04/2021 16:02:38	5717938	TXT
File	GSM5417637_Vhr1_rpt1.out.txt.gz	07/04/2021 16:02:38	631613	TXT
File	GSM5417638_Vhr2_rpt1.out.txt.gz	07/04/2021 16:02:38	295160	TXT
File	GSM5417639_Pip2_rpt1.out.txt.gz	07/04/2021 16:02:38	231393	TXT
File	GSM5417640_Oaf1_rpt1.out.txt.gz	07/04/2021 16:02:39	1347305	TXT
File	GSM5417641_Ixr1_rpt1.out.txt.gz	07/04/2021 16:02:40	1206719	TXT
File	GSM5417642_Pdr1_rpt2.out.txt.gz	07/04/2021 16:02:41	2007096	TXT
File	GSM5417643_Pdr3_rpt2.out.txt.gz	07/04/2021 16:02:41	296360	TXT
File	GSM5417644_Vhr1_rpt2.out.txt.gz	07/04/2021 16:02:41	261173	TXT
File	GSM5417645_Vhr2_rpt2.out.txt.gz	07/04/2021 16:02:41	542061	TXT
File	GSM5417646_Pip2_rpt2.out.txt.gz	07/04/2021 16:02:42	135971	TXT
File	GSM5417647_Pip2_rpt3.out.txt.gz	07/04/2021 16:02:42	722766	TXT
File	GSM5417648_Oaf1_rpt2.out.txt.gz	07/04/2021 16:02:42	351060	TXT
File	GSM5417649_Oaf1_rpt3.out.txt.gz	07/04/2021 16:02:42	653192	TXT
File	GSM5417650_Ixr1_rpt2.out.txt.gz	07/04/2021 16:02:43	320380	TXT
File	GSM5417651_Ecm22_rpt1.out.txt.gz	07/04/2021 16:02:44	1954099	TXT
File	GSM5417652_Upc2_rpt1.out.txt.gz	07/04/2021 16:02:45	1993853	TXT
File	GSM5417653_Yrr1_rpt1.out.txt.gz	07/04/2021 16:02:46	1870164	TXT
File	GSM5417654_Hal9_rpt1.out.txt.gz	07/04/2021 16:02:46	1110497	TXT
File	GSM5417655_Tbs1_rpt1.out.txt.gz	07/04/2021 16:02:47	999945	TXT
File	GSM5417656_Tda9_rpt1.out.txt.gz	07/04/2021 16:02:48	1592239	TXT
File	GSM5417657_Rsf2_rpt1.out.txt.gz	07/04/2021 16:02:49	1616038	TXT
File	GSM5417658_Yap6_rpt1.out.txt.gz	07/04/2021 16:02:49	1437306	TXT
File	GSM5417659_Yap4_rpt1.out.txt.gz	07/04/2021 16:02:50	2237445	TXT
File	GSM5417660_Yap5_rpt1.out.txt.gz	07/04/2021 16:02:51	1172010	TXT
File	GSM5417661_Yap7_rpt1.out.txt.gz	07/04/2021 16:02:53	3021377	TXT
File	GSM5417662_Ecm22_rpt2.out.txt.gz	07/04/2021 16:02:54	1993183	TXT
File	GSM5417663_Upc2_rpt2.out.txt.gz	07/04/2021 16:02:54	1466478	TXT
File	GSM5417664_Yrr1_rpt2.out.txt.gz	07/04/2021 16:02:55	1425828	TXT
File	GSM5417665_Pdr8_rpt1.out.txt.gz	07/04/2021 16:02:56	1283266	TXT
File	GSM5417666_Hal9_rpt2.out.txt.gz	07/04/2021 16:02:56	1340870	TXT
File	GSM5417667_Tda9_rpt2.out.txt.gz	07/04/2021 16:02:57	1393090	TXT
File	GSM5417668_Rsf2_rpt2.out.txt.gz	07/04/2021 16:02:58	1068950	TXT
File	GSM5417669_Yap6_rpt2.out.txt.gz	07/04/2021 16:02:58	1313025	TXT
File	GSM5417670_Yap4_rpt2.out.txt.gz	07/04/2021 16:02:59	1715626	TXT
File	GSM5417671_Yap5_rpt2.out.txt.gz	07/04/2021 16:03:00	1003672	TXT
File	GSM5417672_Yap7_rpt2.out.txt.gz	07/04/2021 16:03:01	2564709	TXT
File	GSM5417673_Vhr1_rpt3.out.txt.gz	07/04/2021 16:03:02	1263079	TXT
File	GSM5417674_Vhr2_rpt3.out.txt.gz	07/04/2021 16:03:02	999197	TXT
File	GSM5417675_Tos8_rpt1.out.txt.gz	07/04/2021 16:03:03	1130836	TXT
File	GSM5417676_Yhp1_rpt1.out.txt.gz	07/04/2021 16:03:04	1945540	TXT
File	GSM5417677_Yox1_rpt1.out.txt.gz	07/04/2021 16:03:05	2075069	TXT
File	GSM5417678_Tod6_rpt1.out.txt.gz	07/04/2021 16:03:07	3734274	TXT
File	GSM5417679_Smp1_rpt2.out.txt.gz	07/04/2021 16:03:08	2493604	TXT
File	GSM5417680_Phd1_rpt1.out.txt.gz	07/04/2021 16:03:10	2557849	TXT
File	GSM5417681_Rgm1_rpt1.out.txt.gz	07/04/2021 16:03:10	1298455	TXT
File	GSM5417682_Usv1_rpt2.out.txt.gz	07/04/2021 16:03:11	2123973	TXT
File	GSM5417683_Tos8_rpt2.out.txt.gz	07/04/2021 16:03:13	2386531	TXT
File	GSM5417684_Yhp1_rpt2.out.txt.gz	07/04/2021 16:03:13	1662966	TXT
File	GSM5417685_Yox1_rpt2.out.txt.gz	07/04/2021 16:03:15	2608216	TXT
File	GSM5417686_Tod6_rpt2.out.txt.gz	07/04/2021 16:03:16	1896007	TXT
File	GSM5417687_Smp1_rpt3.out.txt.gz	07/04/2021 16:03:17	2011791	TXT
File	GSM5417688_Phd1_rpt2.out.txt.gz	07/04/2021 16:03:18	2353169	TXT
File	GSM5417689_Rgm1_rpt2.out.txt.gz	07/04/2021 16:03:18	947446	TXT
File	GSM5417690_Usv1_rpt3.out.txt.gz	07/04/2021 16:03:19	1927806	TXT
File	GSM5417691_Dal80_rpt3.out.txt.gz	07/04/2021 16:03:20	2169392	TXT
File	GSM5417692_Sut2_rpt1.out.txt.gz	07/04/2021 16:03:21	892299	TXT
File	GSM5417693_Sut1_rpt1.out.txt.gz	07/04/2021 16:03:22	2622732	TXT
File	GSM5417694_Pdr8_rpt2.out.txt.gz	07/04/2021 16:03:23	1877168	TXT
File	GSM5417695_Spt23_rpt1.out.txt.gz	07/04/2021 16:03:24	1517018	TXT
File	GSM5417696_Cup9_rpt3.out.txt.gz	07/04/2021 16:03:26	4189552	TXT
File	GSM5417697_Spt23_rpt2.out.txt.gz	07/04/2021 16:03:26	1151945	TXT
File	GSM5417698_Mga2_rpt1.out.txt.gz	07/04/2021 16:03:27	483730	TXT
File	GSM5417699_Spt23_rpt3.out.txt.gz	07/04/2021 16:03:27	1227773	TXT
File	GSM5417700_Mga2_rpt2.out.txt.gz	07/04/2021 16:03:29	2943822	TXT
File	GSM5417701_Dal80_rpt4.out.txt.gz	07/04/2021 16:03:29	1849241	TXT
File	GSM5417702_Sut2_rpt2.out.txt.gz	07/04/2021 16:03:30	1343555	TXT
File	GSM5417703_Sut1_rpt2.out.txt.gz	07/04/2021 16:03:30	400454	TXT
File	GSM5417704_Gis1_dRPH1_rpt1.out.txt.gz	07/04/2021 16:03:30	143757	TXT
File	GSM5417705_Met31_dMET32_rpt1.out.txt.gz	07/04/2021 16:03:31	118327	TXT
File	GSM5417706_Dot6_dTOD6_rpt1.out.txt.gz	07/04/2021 16:03:31	305440	TXT
File	GSM5417707_Gzf3_dDAL80_rpt1.out.txt.gz	07/04/2021 16:03:31	665035	TXT
File	GSM5417708_Pdr3_dPDR1_rpt1.out.txt.gz	07/04/2021 16:03:31	96155	TXT
File	GSM5417709_Pdr1_dPDR3_rpt1.out.txt.gz	07/04/2021 16:03:32	219665	TXT
File	GSM5417710_Hal9_dTBS1_rpt1.out.txt.gz	07/04/2021 16:03:32	113628	TXT
File	GSM5417711_Stp1_rpt1.out.txt.gz	07/04/2021 16:03:32	51046	TXT
File	GSM5417712_Stp2_rpt1.out.txt.gz	07/04/2021 16:03:32	190701	TXT
File	GSM5417713_Oaf1_dPIP2_rpt1.out.txt.gz	07/04/2021 16:03:33	171287	TXT
File	GSM5417714_Rph1_dGIS1_rpt1.out.txt.gz	07/04/2021 16:03:33	100682	TXT
File	GSM5417715_Gis1_dRPH1_rpt2.out.txt.gz	07/04/2021 16:03:33	158949	TXT
File	GSM5417716_Gzf3_dDAL80_rpt2.out.txt.gz	07/04/2021 16:03:33	1043481	TXT
File	GSM5417717_Pdr3_dPDR1_rpt2.out.txt.gz	07/04/2021 16:03:34	53593	TXT
