gsm	title	expname	strainid	genotype	platform	instrument	file
GSM5417602	Cup9_rpt1	Cup9	YTG44	BY4741 CUP9::Cup9-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417602_Cup9_rpt1.out.txt.gz
GSM5417603	Skn7_rpt1	Skn7	YTG42	BY4741 SKN7::Skn7-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417603_Skn7_rpt1.out.txt.gz
GSM5417604	Hms2_rpt1	Hms2	YTG43	BY4741 HMS2::Hms2-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417604_Hms2_rpt1.out.txt.gz
GSM5417605	Cup9_rpt2	Cup9	YTG44	BY4741 CUP9::Cup9-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417605_Cup9_rpt2.out.txt.gz
GSM5417606	Skn7_rpt2	Skn7	YTG42	BY4741 SKN7::Skn7-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417606_Skn7_rpt2.out.txt.gz
GSM5417607	Hms2_rpt2	Hms2	YTG43	BY4741 HMS2::Hms2-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417607_Hms2_rpt2.out.txt.gz
GSM5417608	Hms2_rpt3	Hms2	YTG43	BY4741 HMS2::Hms2-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417608_Hms2_rpt3.out.txt.gz
GSM5417609	Dot6_rpt1	Dot6	YTG36	BY4741 DOT6::Dot6-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417609_Dot6_rpt1.out.txt.gz
GSM5417610	Sok2_rpt1	Sok2	YTG35	BY4741 SOK2::Sok2-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417610_Sok2_rpt1.out.txt.gz
GSM5417611	Smp1_rpt1	Smp1	YTG46	BY4741 SMP1::Smp1-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417611_Smp1_rpt1.out.txt.gz
GSM5417612	Rlm1_rpt1	Rlm1	YTG47	BY4741 RLM1::Rlm1-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417612_Rlm1_rpt1.out.txt.gz
GSM5417613	Dot6_rpt2	Dot6	YTG36	BY4741 DOT6::Dot6-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417613_Dot6_rpt2.out.txt.gz
GSM5417614	Sok2_rpt2	Sok2	YTG35	BY4741 SOK2::Sok2-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417614_Sok2_rpt2.out.txt.gz
GSM5417615	Rlm1_rpt2	Rlm1	YTG47	BY4741 RLM1::Rlm1-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417615_Rlm1_rpt2.out.txt.gz
GSM5417616	Gzf3_rpt1	Gzf3	YTG40	BY4741 GZF3::Gzf3-Mnase	GPL19756	NextSeq 500	GSM5417616_Gzf3_rpt1.out.txt.gz
GSM5417617	Dal80_rpt1	Dal80	YTG41	BY4741 DAL80::Dal80-Mnase	GPL19756	NextSeq 500	GSM5417617_Dal80_rpt1.out.txt.gz
GSM5417618	Gis1_rpt1	Gis1	YTG14	BY4741 GIS1::Gis1-Mnase	GPL19756	NextSeq 500	GSM5417618_Gis1_rpt1.out.txt.gz
GSM5417619	Rph1_rpt1	Rph1	YTG15	BY4741 RPH1::Rph1-Mnase	GPL19756	NextSeq 500	GSM5417619_Rph1_rpt1.out.txt.gz
GSM5417620	Met31_rpt1	Met31	YTG6	BY4741 MET31::Met31-Mnase	GPL19756	NextSeq 500	GSM5417620_Met31_rpt1.out.txt.gz
GSM5417621	Met32_rpt1	Met32	YTG7	BY4741 MET32::Met32-Mnase	GPL19756	NextSeq 500	GSM5417621_Met32_rpt1.out.txt.gz
GSM5417622	Stp3_rpt1	Stp3	YTG10	BY4741 STP3::Stp3-Mnase	GPL19756	NextSeq 500	GSM5417622_Stp3_rpt1.out.txt.gz
GSM5417623	Stp4_rpt1	Stp4	YTG11	BY4741 STP4::Stp4-Mnase	GPL19756	NextSeq 500	GSM5417623_Stp4_rpt1.out.txt.gz
GSM5417624	Usv1_rpt1	Usv1	YTG13	BY4741 USV1::Usv1-Mnase	GPL19756	NextSeq 500	GSM5417624_Usv1_rpt1.out.txt.gz
GSM5417625	Gzf3_rpt2	Gzf3	YTG40	BY4741 GZF3::Gzf3-Mnase	GPL19756	NextSeq 500	GSM5417625_Gzf3_rpt2.out.txt.gz
GSM5417626	Gis1_rpt2	Gis1	YTG14	BY4741 GIS1::Gis1-Mnase	GPL19756	NextSeq 500	GSM5417626_Gis1_rpt2.out.txt.gz
GSM5417627	Rph1_rpt2	Rph1	YTG15	BY4741 RPH1::Rph1-Mnase	GPL19756	NextSeq 500	GSM5417627_Rph1_rpt2.out.txt.gz
GSM5417628	Met31_rpt2	Met31	YTG6	BY4741 MET31::Met31-Mnase	GPL19756	NextSeq 500	GSM5417628_Met31_rpt2.out.txt.gz
GSM5417629	Met32_rpt2	Met32	YTG7	BY4741 MET32::Met32-Mnase	GPL19756	NextSeq 500	GSM5417629_Met32_rpt2.out.txt.gz
GSM5417630	Stp3_rpt2	Stp3	YTG10	BY4741 STP3::Stp3-Mnase	GPL19756	NextSeq 500	GSM5417630_Stp3_rpt2.out.txt.gz
GSM5417631	Stp4_rpt2	Stp4	YTG11	BY4741 STP4::Stp4-Mnase	GPL19756	NextSeq 500	GSM5417631_Stp4_rpt2.out.txt.gz
GSM5417632	Rph1_rpt3	Rph1	YTG15	BY4741 RPH1::Rph1-Mnase	GPL19756	NextSeq 500	GSM5417632_Rph1_rpt3.out.txt.gz
GSM5417633	Stp4_rpt3	Stp4	YTG11	BY4741 STP4::Stp4-Mnase	GPL19756	NextSeq 500	GSM5417633_Stp4_rpt3.out.txt.gz
GSM5417634	Dal80_rpt2	Dal80	YTG41	BY4741 DAL80::Dal80-Mnase	GPL19756	NextSeq 500	GSM5417634_Dal80_rpt2.out.txt.gz
GSM5417635	Pdr1_rpt1	Pdr1	YTG24	BY4741 PDR1::Pdr1-Mnase	GPL27812	Illumina NovaSeq 6000	GSM5417635_Pdr1_rpt1.out.txt.gz
