	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10
Ixr1	104.842	231.408	43.854	56.195	60.274	198.364	2.346	380.819	14.584	1.326
Ixr1_dABF2	106.531	374.007	54.798	103.082	101.932	152.132	3.545	471.724	9.101	1.245
Ixr1_lactis	83.932	568.764	33.715	89.392	74.909	147.207	4.155	618.624	18.163	1.306
Ace2	87.713	292.176	72.98	10.815	64.89	41.557	10.9	170.486	5.024	1.533
Ace2_dSWI5	88.312	305.225	73.3	13.097	57.445	44.501	11.412	177.544	4.596	1.915
Swi5	22.415	109.856	29.988	7.876	40.893	40.792	23.829	127.828	6.058	4.746
Swi5_dACE2	14.92	131.624	53.14	9.606	48.95	46.6	17.168	130.909	5.416	2.964
Swi5_lactis	90.976	282.335	32.179	15.912	48.387	52.409	18.396	144.214	3.845	1.479
Swi5_Ace2_DBD	14.584	109.72	12.295	11.532	63.254	40.869	31.118	110.738	7.377	3.222
Cup9	15.185	121.172	19.259	47.592	18.21	55.864	4.815	81.79	24.753	3.395
Cup9_dTOS8	57.13	369.484	67.891	89.149	24.048	340.919	15.545	84.233	24.845	3.986
Tos8	13.399	54.453	8.838	15.823	22.523	46.898	7.27	134.708	85.386	3.706
Tos8_dCUP9	15.083	49.508	7.866	18.042	25.62	62.859	8.516	70.149	94.109	4.474
Tos8_Cup9_DBD	3.15	11.259	4.025	5.717	11.492	18.55	2.917	40.951	33.134	2.333
Dal80	107.447	6.476	3.593	5.449	21.442	16.072	5.133	13.229	6.752	3.988
Dal80_dGZF3	15.048	5.419	4.792	6.449	29.335	6.539	9.898	8.823	18.631	6.18
Gzf3	76.918	14.974	6.305	14.264	23.012	41.611	11.191	22.855	15.053	6.778
Gzf3_dDAL80	159.734	32.048	11.608	25.739	34.824	56.778	18.674	28.767	21.197	10.346
Gzf3_lactis	101.422	34.066	10.492	17.94	95.658	90.736	7.254	275.51	27.59	3.368
Dot6	38.536	46.971	45.662	54.824	61.513	78.236	19.923	71.547	9.016	6.108
Dot6_dTOD6	45.941	60.378	45.722	35.891	66.189	70.867	11.951	87.972	9.649	5.957
Dot6_lactis	37.957	31.283	50.75	27.118	49.645	58.231	19.34	22.867	9.436	7.693
Dot6_Tod6_DBD	34.001	41.945	52.749	40.886	53.702	71.497	16.736	66.837	6.461	5.72
Tod6	31.812	20.798	13.546	13.888	41.801	21.824	15.325	23.534	5.815	6.499
Tod6_dDOT6	38.968	20.318	35.139	27.189	26.894	34.158	20.171	40.244	6.086	9.914
Tod6_Dot6_DBD	25.348	20.402	18.919	22.752	61.207	26.709	22.134	11.376	12.365	10.387
Ecm22	28.326	201.057	100.991	44.055	735.123	124.051	8.612	86.544	7.331	1.423
Ecm22_dUPC2	35.441	205.431	207.313	43.595	2861.604	272.549	9.409	78.722	10.036	1.255
Ecm22_Upc2_DBD	40.232	79.872	21.003	21.891	347.593	75.435	39.936	88.747	18.045	9.171
Upc2	46.701	99.355	61.994	14.651	3101.052	88.824	7.875	58.239	9.523	1.557
Upc2_dECM22	46.687	78.48	95.952	15.467	3835.774	160.11	7.733	51.556	14.035	2.005
Upc2_lactis	29.478	121.41	133.9	18.986	3108.687	242.32	21.984	40.97	7.994	1.999
Upc2_Ecm22_DBD	48.758	106.247	25.936	27.978	295.816	84.599	30.072	82.302	16.083	8.475
Fkh1	56.759	28.93	10.78	14.96	12.32	28.6	12.98	6.82	8.47	2.64
Fkh1_dFKH2	36.664	26.584	8.598	19.172	11.068	40.518	9.883	7.017	6.028	2.471
Fkh1_Fkh2_DBD	38.169	32.219	4.548	11.519	10.541	27.671	12.369	5.398	8.161	2.465
Fkh2	39.311	60.627	18.548	19.286	49.277	129.467	23.254	22.147	5.721	2.953
Fkh2_dFKH1	53.107	78.258	19.728	27.208	50.583	195.131	24.871	24.59	8.134	3.179
Fkh2_lactis	83.765	47.509	13.753	16.253	33.756	96.268	20.004	31.256	6.251	6.251
Fkh2_Fkh1_DBD	78.208	74.935	23.361	21.668	95.305	139.092	16.815	33.123	6.207	3.329
Gis1	64.761	23.413	54.984	45.083	45.208	50.563	3.985	907.334	17.311	3.363
Gis1_dRPH1	67.489	44.127	67.489	75.276	62.298	101.233	5.191	1074.632	23.362	5.191
Gis1_Rph1_DBD	53.964	22.093	35.022	60.51	49.259	144.136	4.828	660.581	19.434	0.982
Rph1	79.205	14.602	26.34	59.38	14.233	4.852	16.774	16.821	54.713	6.885
Rph1_dGIS1	118.88	20.862	19.835	113.745	25.419	30.105	27.088	26.19	57.579	5.071
Rph1_lactis	136.518	24.964	27.784	106.227	36.349	35.722	17.443	135.786	82.621	4.909
