file	total_counts	max_per_base
GSM5417602_Cup9_rpt1.out.txt.gz	647158	317
GSM5417603_Skn7_rpt1.out.txt.gz	2582300	5479
GSM5417604_Hms2_rpt1.out.txt.gz	160858	168
GSM5417605_Cup9_rpt2.out.txt.gz	404392	362
GSM5417606_Skn7_rpt2.out.txt.gz	10238456	30507
GSM5417607_Hms2_rpt2.out.txt.gz	1751824	2440
GSM5417608_Hms2_rpt3.out.txt.gz	150492	180
GSM5417609_Dot6_rpt1.out.txt.gz	1521608	985
GSM5417610_Sok2_rpt1.out.txt.gz	2362512	5213
GSM5417611_Smp1_rpt1.out.txt.gz	1094340	645
GSM5417612_Rlm1_rpt1.out.txt.gz	1587626	3149
GSM5417613_Dot6_rpt2.out.txt.gz	1633224	1276
GSM5417614_Sok2_rpt2.out.txt.gz	1275464	2383
GSM5417615_Rlm1_rpt2.out.txt.gz	1058858	1626
GSM5417616_Gzf3_rpt1.out.txt.gz	6679322	7196
GSM5417617_Dal80_rpt1.out.txt.gz	7354488	3449
GSM5417618_Gis1_rpt1.out.txt.gz	8650838	18280
GSM5417619_Rph1_rpt1.out.txt.gz	4843804	5397
GSM5417620_Met31_rpt1.out.txt.gz	8079404	30190
GSM5417621_Met32_rpt1.out.txt.gz	6642234	6459
GSM5417622_Stp3_rpt1.out.txt.gz	7212476	37875
GSM5417623_Stp4_rpt1.out.txt.gz	7232854	12269
GSM5417624_Usv1_rpt1.out.txt.gz	4677478	890
GSM5417625_Gzf3_rpt2.out.txt.gz	6009546	5144
GSM5417626_Gis1_rpt2.out.txt.gz	7408298	11249
GSM5417627_Rph1_rpt2.out.txt.gz	9405056	9896
GSM5417628_Met31_rpt2.out.txt.gz	7571134	35365
GSM5417629_Met32_rpt2.out.txt.gz	7663200	14818
GSM5417630_Stp3_rpt2.out.txt.gz	1281408	10427
GSM5417631_Stp4_rpt2.out.txt.gz	7051248	7151
GSM5417632_Rph1_rpt3.out.txt.gz	7391286	6234
GSM5417633_Stp4_rpt3.out.txt.gz	6232872	11417
GSM5417634_Dal80_rpt2.out.txt.gz	5672218	2632
GSM5417635_Pdr1_rpt1.out.txt.gz	1505966	5534
GSM5417636_Pdr3_rpt1.out.txt.gz	32581664	28078
GSM5417637_Vhr1_rpt1.out.txt.gz	1643162	3215
GSM5417638_Vhr2_rpt1.out.txt.gz	346556	432
GSM5417639_Pip2_rpt1.out.txt.gz	219208	470
GSM5417640_Oaf1_rpt1.out.txt.gz	2678328	6978
GSM5417641_Ixr1_rpt1.out.txt.gz	9100396	14564
GSM5417642_Pdr1_rpt2.out.txt.gz	9474596	28944
GSM5417643_Pdr3_rpt2.out.txt.gz	277762	799
GSM5417644_Vhr1_rpt2.out.txt.gz	459820	887
GSM5417645_Vhr2_rpt2.out.txt.gz	958968	1180
GSM5417646_Pip2_rpt2.out.txt.gz	109688	303
GSM5417647_Pip2_rpt3.out.txt.gz	1278174	2423
GSM5417648_Oaf1_rpt2.out.txt.gz	452112	1158
GSM5417649_Oaf1_rpt3.out.txt.gz	986380	1963
GSM5417650_Ixr1_rpt2.out.txt.gz	704794	642
GSM5417651_Ecm22_rpt1.out.txt.gz	4686694	5318
GSM5417652_Upc2_rpt1.out.txt.gz	6170000	7245
