set	role	expname	n_rep	files	total_counts	mean_track	all_peak_r_above_0.2
Dot6/Tod6	A	Dot6	4	GSM5417609_Dot6_rpt1.out.txt.gz;GSM5417613_Dot6_rpt2.out.txt.gz;GSM5417944_Dot6_rpt3.out.txt.gz;GSM5417946_Dot6_rpt4.out.txt.gz	1521608;1633224;1756026;1965748	mean_tracks/Dot6.mean_cpm.npy	True
Dot6/Tod6	B	Tod6	2	GSM5417678_Tod6_rpt1.out.txt.gz;GSM5417686_Tod6_rpt2.out.txt.gz	11393344;3223568	mean_tracks/Tod6.mean_cpm.npy	True
Dot6/Tod6	A_B_DBD	Dot6_Tod6_DBD	2	GSM5417888_Dot6_Tod6_DBD_rpt1.out.txt.gz;GSM5417907_Dot6_Tod6_DBD_rpt2.out.txt.gz	6073304;3367610	mean_tracks/Dot6_Tod6_DBD.mean_cpm.npy	True
Dot6/Tod6	B_A_DBD	Tod6_Dot6_DBD	3	GSM5417864_Tod6_Dot6_DBD_rpt1.out.txt.gz;GSM5417889_Tod6_Dot6_DBD_rpt2.out.txt.gz;GSM5417908_Tod6_Dot6_DBD_rpt3.out.txt.gz	4729910;2658146;699216	mean_tracks/Tod6_Dot6_DBD.mean_cpm.npy	True
Ecm22/Upc2	A	Ecm22	2	GSM5417651_Ecm22_rpt1.out.txt.gz;GSM5417662_Ecm22_rpt2.out.txt.gz	4686694;9364018	mean_tracks/Ecm22.mean_cpm.npy	False
Ecm22/Upc2	B	Upc2	2	GSM5417652_Upc2_rpt1.out.txt.gz;GSM5417663_Upc2_rpt2.out.txt.gz	6170000;4750488	mean_tracks/Upc2.mean_cpm.npy	False
Ecm22/Upc2	A_B_DBD	Ecm22_Upc2_DBD	2	GSM5417892_Ecm22_Upc2_DBD_rpt1.out.txt.gz;GSM5417911_Ecm22_Upc2_DBD_rpt2.out.txt.gz	2769994;610400	mean_tracks/Ecm22_Upc2_DBD.mean_cpm.npy	False
Ecm22/Upc2	B_A_DBD	Upc2_Ecm22_DBD	4	GSM5417860_Upc2_Ecm22_DBD_rpt1.out.txt.gz;GSM5417871_Upc2_Ecm22_DBD_rpt2.out.txt.gz;GSM5417881_Upc2_Ecm22_DBD_rpt3.out.txt.gz;GSM5417900_Upc2_Ecm22_DBD_rpt4.out.txt.gz	4592230;7268518;2971978;4753766	mean_tracks/Upc2_Ecm22_DBD.mean_cpm.npy	False
Fkh1/Fkh2	A	Fkh1	2	GSM5417820_Fkh1_rpt1.out.txt.gz;GSM5417837_Fkh1_rpt2.out.txt.gz	4024956;5066096	mean_tracks/Fkh1.mean_cpm.npy	False
Fkh1/Fkh2	B	Fkh2	2	GSM5417821_Fkh2_rpt1.out.txt.gz;GSM5417838_Fkh2_rpt2.out.txt.gz	4263590;6573186	mean_tracks/Fkh2.mean_cpm.npy	False
Fkh1/Fkh2	A_B_DBD	Fkh1_Fkh2_DBD	4	GSM5417861_Fkh1_Fkh2_DBD_rpt1.out.txt.gz;GSM5417872_Fkh1_Fkh2_DBD_rpt2.out.txt.gz;GSM5417883_Fkh1_Fkh2_DBD_rpt3.out.txt.gz;GSM5417902_Fkh1_Fkh2_DBD_rpt4.out.txt.gz	7138064;6019906;5392346;4976406	mean_tracks/Fkh1_Fkh2_DBD.mean_cpm.npy	False
Fkh1/Fkh2	B_A_DBD	Fkh2_Fkh1_DBD	3	GSM5417876_Fkh2_Fkh1_DBD_rpt1.out.txt.gz;GSM5417884_Fkh2_Fkh1_DBD_rpt2.out.txt.gz;GSM5417903_Fkh2_Fkh1_DBD_rpt3.out.txt.gz	7149448;4580024;5992574	mean_tracks/Fkh2_Fkh1_DBD.mean_cpm.npy	False
Gis1/Rph1	A	Gis1	2	GSM5417618_Gis1_rpt1.out.txt.gz;GSM5417626_Gis1_rpt2.out.txt.gz	8650838;7408298	mean_tracks/Gis1.mean_cpm.npy	False
Gis1/Rph1	B	Rph1	3	GSM5417619_Rph1_rpt1.out.txt.gz;GSM5417627_Rph1_rpt2.out.txt.gz;GSM5417632_Rph1_rpt3.out.txt.gz	4843804;9405056;7391286	mean_tracks/Rph1.mean_cpm.npy	False
Gis1/Rph1	A_B_DBD	Gis1_Rph1_DBD	4	GSM5417862_Gis1_Rph1_DBD_rpt1.out.txt.gz;GSM5417874_Gis1_Rph1_DBD_rpt2.out.txt.gz;GSM5417885_Gis1_Rph1_DBD_rpt3.out.txt.gz;GSM5417904_Gis1_Rph1_DBD_rpt4.out.txt.gz	5829864;6681592;6192940;5737726	mean_tracks/Gis1_Rph1_DBD.mean_cpm.npy	False
Gis1/Rph1	B_A_DBD	Rph1_Gis1_DBD	4	GSM5417863_Rph1_Gis1_DBD_rpt1.out.txt.gz;GSM5417875_Rph1_Gis1_DBD_rpt2.out.txt.gz;GSM5417887_Rph1_Gis1_DBD_rpt3.out.txt.gz;GSM5417906_Rph1_Gis1_DBD_rpt4.out.txt.gz	8549548;7336662;4129928;6957034	mean_tracks/Rph1_Gis1_DBD.mean_cpm.npy	False
Pdr8/Yrr1	A	Pdr8	2	GSM5417665_Pdr8_rpt1.out.txt.gz;GSM5417694_Pdr8_rpt2.out.txt.gz	2090246;4526860	mean_tracks/Pdr8.mean_cpm.npy	True
Pdr8/Yrr1	B	Yrr1	2	GSM5417653_Yrr1_rpt1.out.txt.gz;GSM5417664_Yrr1_rpt2.out.txt.gz	3279452;2593078	mean_tracks/Yrr1.mean_cpm.npy	True
Pdr8/Yrr1	A_B_DBD	Pdr8_Yrr1_DBD	3	GSM5417867_Pdr8_Yrr1_DBD_rpt1.out.txt.gz;GSM5417880_Pdr8_Yrr1_DBD_rpt2.out.txt.gz;GSM5417899_Pdr8_Yrr1_DBD_rpt3.out.txt.gz	8545822;2913670;2245152	mean_tracks/Pdr8_Yrr1_DBD.mean_cpm.npy	True
Pdr8/Yrr1	B_A_DBD	Yrr1_Pdr8_DBD	4	GSM5417858_Yrr1_Pdr8_DBD_rpt1.out.txt.gz;GSM5417868_Yrr1_Pdr8_DBD_rpt2.out.txt.gz;GSM5417879_Yrr1_Pdr8_DBD_rpt3.out.txt.gz;GSM5417898_Yrr1_Pdr8_DBD_rpt4.out.txt.gz	1619304;7478380;3373532;2130884	mean_tracks/Yrr1_Pdr8_DBD.mean_cpm.npy	True
Vhr1/Vhr2	A	Vhr1	3	GSM5417637_Vhr1_rpt1.out.txt.gz;GSM5417644_Vhr1_rpt2.out.txt.gz;GSM5417673_Vhr1_rpt3.out.txt.gz	1643162;459820;2910528	mean_tracks/Vhr1.mean_cpm.npy	False
Vhr1/Vhr2	B	Vhr2	3	GSM5417638_Vhr2_rpt1.out.txt.gz;GSM5417645_Vhr2_rpt2.out.txt.gz;GSM5417674_Vhr2_rpt3.out.txt.gz	346556;958968;3190562	mean_tracks/Vhr2.mean_cpm.npy	False
