set	role_1	role_2	exp_1	exp_2	r_genome	r_peaks	n_peak_bins
Dot6/Tod6	A	B	Dot6	Tod6	0.8707	0.2485	1765
Dot6/Tod6	A	A_B_DBD	Dot6	Dot6_Tod6_DBD	0.9447	0.9347	1765
Dot6/Tod6	A	B_A_DBD	Dot6	Tod6_Dot6_DBD	0.7892	0.2854	1765
Dot6/Tod6	B	A_B_DBD	Tod6	Dot6_Tod6_DBD	0.8868	0.2514	1765
Dot6/Tod6	B	B_A_DBD	Tod6	Tod6_Dot6_DBD	0.8273	0.8031	1765
Dot6/Tod6	A_B_DBD	B_A_DBD	Dot6_Tod6_DBD	Tod6_Dot6_DBD	0.8054	0.2724	1765
Ecm22/Upc2	A	B	Ecm22	Upc2	0.9352	0.7393	1856
Ecm22/Upc2	A	A_B_DBD	Ecm22	Ecm22_Upc2_DBD	0.7924	0.2494	1856
Ecm22/Upc2	A	B_A_DBD	Ecm22	Upc2_Ecm22_DBD	0.8526	0.1786	1856
Ecm22/Upc2	B	A_B_DBD	Upc2	Ecm22_Upc2_DBD	0.7903	0.2172	1856
Ecm22/Upc2	B	B_A_DBD	Upc2	Upc2_Ecm22_DBD	0.8658	0.1196	1856
Ecm22/Upc2	A_B_DBD	B_A_DBD	Ecm22_Upc2_DBD	Upc2_Ecm22_DBD	0.8320	0.8979	1856
Fkh1/Fkh2	A	B	Fkh1	Fkh2	0.8636	-0.0146	1952
Fkh1/Fkh2	A	A_B_DBD	Fkh1	Fkh1_Fkh2_DBD	0.9617	0.9141	1952
Fkh1/Fkh2	A	B_A_DBD	Fkh1	Fkh2_Fkh1_DBD	0.8298	-0.0462	1952
Fkh1/Fkh2	B	A_B_DBD	Fkh2	Fkh1_Fkh2_DBD	0.8743	0.0674	1952
Fkh1/Fkh2	B	B_A_DBD	Fkh2	Fkh2_Fkh1_DBD	0.9582	0.9493	1952
Fkh1/Fkh2	A_B_DBD	B_A_DBD	Fkh1_Fkh2_DBD	Fkh2_Fkh1_DBD	0.8375	-0.0132	1952
Gis1/Rph1	A	B	Gis1	Rph1	0.7492	-0.3489	2315
Gis1/Rph1	A	A_B_DBD	Gis1	Gis1_Rph1_DBD	0.9617	0.9336	2315
Gis1/Rph1	A	B_A_DBD	Gis1	Rph1_Gis1_DBD	0.8058	-0.1745	2315
Gis1/Rph1	B	A_B_DBD	Rph1	Gis1_Rph1_DBD	0.7232	-0.4655	2315
Gis1/Rph1	B	B_A_DBD	Rph1	Rph1_Gis1_DBD	0.9482	0.8836	2315
Gis1/Rph1	A_B_DBD	B_A_DBD	Gis1_Rph1_DBD	Rph1_Gis1_DBD	0.8124	-0.1814	2315
Pdr8/Yrr1	A	B	Pdr8	Yrr1	0.7413	0.2467	2616
Pdr8/Yrr1	A	A_B_DBD	Pdr8	Pdr8_Yrr1_DBD	0.8312	0.5819	2616
Pdr8/Yrr1	A	B_A_DBD	Pdr8	Yrr1_Pdr8_DBD	0.7269	0.3344	2616
Pdr8/Yrr1	B	A_B_DBD	Yrr1	Pdr8_Yrr1_DBD	0.7595	0.3995	2616
Pdr8/Yrr1	B	B_A_DBD	Yrr1	Yrr1_Pdr8_DBD	0.7965	0.8437	2616
Pdr8/Yrr1	A_B_DBD	B_A_DBD	Pdr8_Yrr1_DBD	Yrr1_Pdr8_DBD	0.7530	0.4230	2616
Vhr1/Vhr2	A	B	Vhr1	Vhr2	0.5423	-0.2437	2355
Vhr1/Vhr2	A	A_B_DBD	Vhr1	Vhr1_Vhr2_DBD	0.8795	0.8965	2355
Vhr1/Vhr2	A	B_A_DBD	Vhr1	Vhr2_Vhr1_DBD	0.6740	-0.1168	2355
Vhr1/Vhr2	B	A_B_DBD	Vhr2	Vhr1_Vhr2_DBD	0.6167	-0.1002	2355
Vhr1/Vhr2	B	B_A_DBD	Vhr2	Vhr2_Vhr1_DBD	0.7834	0.9181	2355
Vhr1/Vhr2	A_B_DBD	B_A_DBD	Vhr1_Vhr2_DBD	Vhr2_Vhr1_DBD	0.7753	0.0276	2355
Yhp1/Yox1	A	B	Yhp1	Yox1	0.9106	0.6137	1664
Yhp1/Yox1	A	A_B_DBD	Yhp1	Yhp1_Yox1_DBD	0.7946	0.6502	1664
Yhp1/Yox1	A	B_A_DBD	Yhp1	Yox1_Yhp1_DBD	0.9013	0.6208	1664
Yhp1/Yox1	B	A_B_DBD	Yox1	Yhp1_Yox1_DBD	0.7852	0.4388	1664
Yhp1/Yox1	B	B_A_DBD	Yox1	Yox1_Yhp1_DBD	0.9537	0.9047	1664
Yhp1/Yox1	A_B_DBD	B_A_DBD	Yhp1_Yox1_DBD	Yox1_Yhp1_DBD	0.7975	0.5429	1664
