set	expname	rep_i	rep_j	r_genome	r_peaks
Dot6/Tod6	Dot6	1	2	0.7636	0.9271
Dot6/Tod6	Dot6	1	3	0.7938	0.9011
Dot6/Tod6	Dot6	1	4	0.7975	0.8922
Dot6/Tod6	Dot6	2	3	0.8439	0.9203
Dot6/Tod6	Dot6	2	4	0.8482	0.8917
Dot6/Tod6	Dot6	3	4	0.9153	0.9651
Dot6/Tod6	Dot6	1	mean_of_others	0.8162	0.9318
Dot6/Tod6	Dot6	2	mean_of_others	0.8589	0.9391
Dot6/Tod6	Dot6	3	mean_of_others	0.9033	0.9592
Dot6/Tod6	Dot6	4	mean_of_others	0.9073	0.9414
Dot6/Tod6	Tod6	1	2	0.8639	0.9450
Dot6/Tod6	Tod6	1	mean_of_others	0.8639	0.9450
Dot6/Tod6	Tod6	2	mean_of_others	0.8639	0.9450
Dot6/Tod6	Dot6_Tod6_DBD	1	2	0.9356	0.9631
Dot6/Tod6	Dot6_Tod6_DBD	1	mean_of_others	0.9356	0.9631
Dot6/Tod6	Dot6_Tod6_DBD	2	mean_of_others	0.9356	0.9631
Dot6/Tod6	Tod6_Dot6_DBD	1	2	0.5263	0.5611
Dot6/Tod6	Tod6_Dot6_DBD	1	3	0.4301	0.4001
Dot6/Tod6	Tod6_Dot6_DBD	2	3	0.5294	0.7813
Dot6/Tod6	Tod6_Dot6_DBD	1	mean_of_others	0.5432	0.4933
Dot6/Tod6	Tod6_Dot6_DBD	2	mean_of_others	0.6213	0.7838
Dot6/Tod6	Tod6_Dot6_DBD	3	mean_of_others	0.5350	0.5902
Ecm22/Upc2	Ecm22	1	2	0.9000	0.9498
Ecm22/Upc2	Ecm22	1	mean_of_others	0.9000	0.9498
Ecm22/Upc2	Ecm22	2	mean_of_others	0.9000	0.9498
Ecm22/Upc2	Upc2	1	2	0.9178	0.9828
Ecm22/Upc2	Upc2	1	mean_of_others	0.9178	0.9828
Ecm22/Upc2	Upc2	2	mean_of_others	0.9178	0.9828
Ecm22/Upc2	Ecm22_Upc2_DBD	1	2	0.6365	0.8574
Ecm22/Upc2	Ecm22_Upc2_DBD	1	mean_of_others	0.6365	0.8574
Ecm22/Upc2	Ecm22_Upc2_DBD	2	mean_of_others	0.6365	0.8574
Ecm22/Upc2	Upc2_Ecm22_DBD	1	2	0.7716	0.9276
Ecm22/Upc2	Upc2_Ecm22_DBD	1	3	0.7521	0.8172
Ecm22/Upc2	Upc2_Ecm22_DBD	1	4	0.7986	0.8370
Ecm22/Upc2	Upc2_Ecm22_DBD	2	3	0.7989	0.8415
Ecm22/Upc2	Upc2_Ecm22_DBD	2	4	0.8527	0.8451
Ecm22/Upc2	Upc2_Ecm22_DBD	3	4	0.8750	0.9404
Ecm22/Upc2	Upc2_Ecm22_DBD	1	mean_of_others	0.8188	0.8954
Ecm22/Upc2	Upc2_Ecm22_DBD	2	mean_of_others	0.8625	0.9093
Ecm22/Upc2	Upc2_Ecm22_DBD	3	mean_of_others	0.8605	0.9158
Ecm22/Upc2	Upc2_Ecm22_DBD	4	mean_of_others	0.9072	0.9164
Fkh1/Fkh2	Fkh1	1	2	0.9285	0.9830
Fkh1/Fkh2	Fkh1	1	mean_of_others	0.9285	0.9830
Fkh1/Fkh2	Fkh1	2	mean_of_others	0.9285	0.9830
Fkh1/Fkh2	Fkh2	1	2	0.9332	0.9587
Fkh1/Fkh2	Fkh2	1	mean_of_others	0.9332	0.9587
Fkh1/Fkh2	Fkh2	2	mean_of_others	0.9332	0.9587
Fkh1/Fkh2	Fkh1_Fkh2_DBD	1	2	0.9500	0.9710
Fkh1/Fkh2	Fkh1_Fkh2_DBD	1	3	0.9421	0.9685
Fkh1/Fkh2	Fkh1_Fkh2_DBD	1	4	0.9416	0.9507
Fkh1/Fkh2	Fkh1_Fkh2_DBD	2	3	0.9322	0.9470
Fkh1/Fkh2	Fkh1_Fkh2_DBD	2	4	0.9290	0.9197
Fkh1/Fkh2	Fkh1_Fkh2_DBD	3	4	0.9366	0.9746
Fkh1/Fkh2	Fkh1_Fkh2_DBD	1	mean_of_others	0.9664	0.9807
Fkh1/Fkh2	Fkh1_Fkh2_DBD	2	mean_of_others	0.9562	0.9573
Fkh1/Fkh2	Fkh1_Fkh2_DBD	3	mean_of_others	0.9556	0.9810
Fkh1/Fkh2	Fkh1_Fkh2_DBD	4	mean_of_others	0.9539	0.9607
Fkh1/Fkh2	Fkh2_Fkh1_DBD	1	2	0.9090	0.9542
Fkh1/Fkh2	Fkh2_Fkh1_DBD	1	3	0.9483	0.9713
Fkh1/Fkh2	Fkh2_Fkh1_DBD	2	3	0.9027	0.9475
Fkh1/Fkh2	Fkh2_Fkh1_DBD	1	mean_of_others	0.9519	0.9763
Fkh1/Fkh2	Fkh2_Fkh1_DBD	2	mean_of_others	0.9176	0.9598
