region	chr	peak_center	start	end	top_experiment	log2_fold_over_median	peak_cpm_per_100bp	top_experiment_pooled_depth	gstart
R1	chrIII	78348	77348	79348	Stp1_dSTP2	12.626710736217538	8213.387150728982	14500392	1120750
R2	chrIV	551128	550128	552128	Stp1	12.504917660463253	9805.848506215074	1455118	1910150
R3	chrVII	271960	270960	272960	Met31_dMET32	12.486100481090867	15680.552934866426	10769008	4009950
R4	chrXV	619381	618381	620381	Pdr1	11.818217899018258	8104.533568803978	10980562	10650350
R5	chrVII	610060	609060	611060	Upc2_dECM22	11.799719014355059	6627.442017042922	3491342	4348050
R6	chrXV	836781	835781	837781	Oaf1_lactis	11.78042931507771	8828.30695349339	5960486	10867750
R7	chrXII	576522	575522	577522	Yap5	11.632347656368093	17183.027486035324	2643694	7820550
R8	chrVII	987360	986360	988360	Hal9_dTBS1	11.239282521458897	5071.773698391202	1213908	4725350
R9	chrIII	305648	304648	306648	Tbs1_dHAL9	11.111297272186484	7523.448902273788	9717086	1348050
R10	chrV	539295	538295	540295	Yap5_dYAP7	11.012325044224534	7679.405865831296	13734092	3430250
